,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep1_M50,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep2_M51,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep3_M52,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep4_M53,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep5_M54,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep6_M55,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep1_M62,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep2_M63,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep3_M64,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep4_M65,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep5_M66,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep6_M67
ENSMUSG00000063838,19,9,29,15,12,8,16,11,11,11,20,16
ENSMUSG00000063842,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063844,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000063846,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063849,81,77,69,85,101,76,65,76,98,80,78,80
ENSMUSG00000063851,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000063856,557,654,660,624,658,445,718,929,773,696,734,559
ENSMUSG00000063867,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063870,4076,3512,3308,2964,3254,3648,2565,2602,2548,2675,3304,3837
ENSMUSG00000063873,1995,1477,1729,1567,1786,1707,1540,940,1591,1533,1451,2058
ENSMUSG00000063875,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000063881,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000063882,699,707,948,890,932,611,887,858,897,1086,1160,904
ENSMUSG00000063884,470,345,548,407,489,488,417,465,418,419,576,572
ENSMUSG00000063885,0,0,3,0,0,0,0,0,3,0,10,0
ENSMUSG00000063887,2057,1650,1474,1227,1262,1942,1013,1106,783,977,1606,1638
ENSMUSG00000063888,294,256,302,213,291,307,187,243,246,276,374,333
ENSMUSG00000063889,135,146,132,189,171,198,103,91,130,125,248,176
ENSMUSG00000063894,390,323,378,344,366,375,311,366,359,338,469,485
ENSMUSG00000063895,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063897,71,96,91,78,100,65,67,96,82,108,116,117
ENSMUSG00000063900,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063902,167,215,166,107,131,201,102,141,158,105,205,241
ENSMUSG00000063903,1,0,0,0,5,0,1,0,1,5,0,0
ENSMUSG00000063904,250,273,224,220,291,275,183,178,217,235,274,302
ENSMUSG00000063905,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063911,0,0,1,1,0,0,0,0,0,0,3,0
ENSMUSG00000063919,873,551,599,603,640,854,490,342,488,631,744,873
ENSMUSG00000063929,0,0,0,0,0,0,0,0,0,3,0,0
ENSMUSG00000063931,193,165,250,175,255,170,178,128,229,223,230,256
ENSMUSG00000063932,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063935,0,0,3,0,6,0,0,2,10,0,1,0
ENSMUSG00000063952,680,486,438,395,492,607,328,402,333,412,551,615
ENSMUSG00000063953,10,13,7,39,0,21,0,0,30,0,14,0
ENSMUSG00000063954,286,269,415,354,438,348,326,335,381,358,440,392
ENSMUSG00000063971,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063972,131,81,75,91,97,117,60,54,53,50,131,96
ENSMUSG00000063975,1,4,0,4,0,3,3,0,6,0,1,0
ENSMUSG00000063994,0,0,0,0,0,0,0,0,0,0,3,0
ENSMUSG00000063998,0,0,0,0,0,0,0,1,0,0,5,0
ENSMUSG00000064006,0,0,0,0,0,0,1,0,0,0,2,0
ENSMUSG00000064010,4,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000064016,2,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000064023,33,26,36,57,44,41,41,15,8,54,62,35
ENSMUSG00000064030,228,148,173,154,213,162,154,129,146,163,193,213
ENSMUSG00000064032,0,1,1,0,0,0,0,0,2,0,4,0
ENSMUSG00000064036,98,78,174,91,142,105,89,151,171,135,139,147
ENSMUSG00000064037,183,102,136,94,116,126,110,108,104,113,144,177
ENSMUSG00000064039,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064043,1039,967,659,815,768,976,551,764,352,640,1149,898
ENSMUSG00000064044,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064052,1,0,0,1,4,0,2,0,2,3,7,0
ENSMUSG00000064057,1,0,2,0,1,0,0,0,0,0,0,0
ENSMUSG00000064061,1795,1358,1621,1055,1514,1564,986,1348,1418,1180,1576,1806
ENSMUSG00000064063,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064065,1505,1664,562,1373,989,1652,548,296,119,540,1795,1151
ENSMUSG00000064068,209,201,210,184,170,221,163,148,134,167,211,241
ENSMUSG00000064080,57,34,63,28,43,45,26,23,36,42,73,53
ENSMUSG00000064081,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064084,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064090,18,20,31,15,23,35,23,25,18,19,42,25
ENSMUSG00000064105,467,347,376,348,487,422,319,303,398,335,420,519
ENSMUSG00000064109,0,0,1,1,0,1,0,1,0,1,2,2
ENSMUSG00000064110,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064115,5020,5121,3810,5152,5144,5913,3855,3456,2816,3886,6179,6049
ENSMUSG00000064120,103,64,80,80,80,94,69,60,77,68,95,93
ENSMUSG00000064121,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064125,1868,838,618,544,603,1595,309,369,322,476,847,1212
ENSMUSG00000064127,1722,1477,1258,1346,1527,1637,937,977,820,1066,1761,1776
ENSMUSG00000064128,55,54,47,40,35,49,39,46,46,42,55,64
ENSMUSG00000064129,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064137,0,0,5,0,0,0,0,0,0,0,0,0
ENSMUSG00000064138,637,589,668,540,625,591,508,542,482,521,691,679
ENSMUSG00000064140,0,2,0,0,0,0,1,1,0,0,0,0
ENSMUSG00000064141,14,27,22,13,20,17,17,19,11,22,21,19
ENSMUSG00000064145,477,404,429,423,470,436,341,332,364,384,498,517
ENSMUSG00000064147,0,1,1,0,0,0,0,0,3,0,3,1
ENSMUSG00000064156,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064158,1,0,0,0,1,3,0,3,0,1,2,0
ENSMUSG00000064165,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064177,1,0,1,0,6,0,0,1,0,0,1,0
ENSMUSG00000064179,18,14,47,151,298,11,496,34,180,571,47,100
ENSMUSG00000064181,366,349,430,297,383,389,224,209,192,286,336,449
ENSMUSG00000064193,4,9,8,13,6,15,3,3,5,0,5,14
ENSMUSG00000064194,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064201,117,58,124,14,9,35,21,0,1,16,6,67
ENSMUSG00000064202,32,35,28,31,35,24,34,22,30,24,39,33
ENSMUSG00000064208,1,0,0,0,3,8,3,1,0,0,0,0
ENSMUSG00000064210,378,261,447,250,303,313,252,263,240,289,323,417
ENSMUSG00000064213,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064215,234,222,355,246,236,198,141,160,190,179,234,217
ENSMUSG00000064220,338,322,281,294,328,286,196,262,245,325,522,413
ENSMUSG00000064223,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000064224,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000064225,1075,969,798,981,857,1110,630,539,393,653,962,1206
ENSMUSG00000064231,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000064232,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064246,71,71,128,71,136,75,92,102,182,104,128,111
ENSMUSG00000064247,86,118,126,87,121,96,57,141,111,88,129,98
ENSMUSG00000064252,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064254,110,116,144,94,129,130,81,126,109,93,112,138
ENSMUSG00000064259,0,0,0,0,0,0,1,0,0,0,1,0
ENSMUSG00000064262,11,10,22,14,16,7,10,20,17,11,23,14
ENSMUSG00000064263,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064264,347,283,235,225,295,269,178,200,195,239,259,335
ENSMUSG00000064267,37,36,49,32,29,38,27,42,14,17,28,39
ENSMUSG00000064272,3,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000064280,8,19,0,11,10,0,3,2,21,1,10,2
ENSMUSG00000064281,0,0,0,6,8,0,0,13,0,1,1,0
ENSMUSG00000064284,64,51,74,48,33,31,50,44,22,68,66,62
ENSMUSG00000064288,62,45,58,38,41,59,44,36,24,59,74,49
ENSMUSG00000064289,325,345,410,384,464,346,328,361,327,354,560,458
ENSMUSG00000064293,676,679,444,470,716,706,598,392,519,590,739,828
ENSMUSG00000064294,44,18,24,26,32,32,16,25,13,19,34,58
ENSMUSG00000064299,0,0,1,0,0,0,1,0,2,0,0,0
ENSMUSG00000064302,2592,1950,1983,1694,1770,2260,1263,1245,1600,1440,2133,2567
ENSMUSG00000064307,20,25,13,18,26,13,25,25,34,28,30,18
ENSMUSG00000064308,1,2,0,3,0,0,0,0,0,0,1,0
ENSMUSG00000064310,3,4,6,5,1,4,1,0,0,0,1,2
ENSMUSG00000064317,40,19,55,39,37,35,32,31,48,77,78,36
ENSMUSG00000064325,83,153,218,160,241,124,144,241,232,170,237,234
ENSMUSG00000064326,76,61,78,83,84,67,68,80,83,74,95,59
ENSMUSG00000064329,1397,2105,2784,2474,3538,2206,2563,1745,2811,2989,3247,3823
ENSMUSG00000064330,10,5,8,2,4,4,7,3,3,4,7,3
ENSMUSG00000064333,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064336,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064337,59431,50464,89558,93333,68678,59271,82225,77001,61085,77302,93626,62290
ENSMUSG00000064338,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064339,194952,161382,312977,297402,251636,185095,273010,258311,195910,231307,403976,210568
ENSMUSG00000064340,6,3,7,6,5,2,7,15,10,10,2,9
ENSMUSG00000064341,105835,75587,134451,138686,121962,63043,139616,151022,122819,145570,173072,90148
ENSMUSG00000064342,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064343,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064344,26,51,30,57,34,8,27,22,11,32,49,21
ENSMUSG00000064345,75006,57975,108195,101920,98417,48127,99227,124366,92328,108070,129728,72034
ENSMUSG00000064346,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064347,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064348,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064349,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064350,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064351,251139,192449,355404,362134,305454,199934,368067,386284,321508,320781,445986,245349
ENSMUSG00000064352,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064353,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064354,0,705,0,0,243,233,0,0,246,0,493,0
ENSMUSG00000064355,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064356,23257,15534,33057,29593,25039,20592,32956,41771,26948,28456,44947,22601
ENSMUSG00000064357,4248,6350,12925,10379,6391,1113,8014,5577,10525,8861,7564,3954
ENSMUSG00000064358,1841,2035,1936,934,946,895,2997,1,2003,1070,6578,958
ENSMUSG00000064359,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064360,88,457,222,200,286,187,393,998,395,556,624,321
ENSMUSG00000064361,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064363,133397,101324,194299,177314,154479,95039,178766,226153,157579,177607,223392,123017
ENSMUSG00000064364,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064365,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064366,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064367,122113,84677,169127,147010,135485,65880,153142,187993,142883,160861,185594,95722
ENSMUSG00000064368,9736,7627,14635,13044,12741,9800,13692,13637,12048,13747,19218,9172
ENSMUSG00000064369,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064370,140483,102401,185535,175353,155064,94270,175417,214613,156579,181863,221825,112705
ENSMUSG00000064371,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064372,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064373,2997,2758,5970,4069,5253,2603,4605,5529,6187,5843,4966,4805
ENSMUSG00000064377,0,0,0,0,0,0,3,0,0,1,0,0
ENSMUSG00000064380,9,7,9,9,5,3,9,6,6,12,11,11
ENSMUSG00000064382,28,22,36,46,41,20,21,24,22,42,52,38
ENSMUSG00000064386,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064387,26,42,50,58,57,29,32,25,41,53,51,49
ENSMUSG00000064389,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064390,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064391,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064392,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064393,0,0,2,0,0,0,0,2,0,0,0,0
ENSMUSG00000064394,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064395,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064397,1,0,1,0,0,0,0,0,1,0,0,1
ENSMUSG00000064398,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064399,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064400,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000064403,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064405,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064407,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064408,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064409,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064410,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064412,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064413,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064414,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064416,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064417,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064419,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064422,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064424,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064427,3,20,17,5,16,4,11,9,12,6,10,6
ENSMUSG00000064428,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064429,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064432,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064433,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064435,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064436,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064437,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064440,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064441,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064442,1,0,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000064443,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000064444,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064446,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064450,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064451,32,17,29,42,28,23,29,26,26,49,43,16
ENSMUSG00000064452,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064453,19,25,36,37,17,9,18,9,14,29,46,27
ENSMUSG00000064455,0,0,2,2,0,1,0,0,0,0,3,0
ENSMUSG00000064460,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064463,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064464,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064467,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064468,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064471,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064472,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064476,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064477,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064481,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064485,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064486,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000064487,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064489,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064490,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064491,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064492,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064493,14,14,14,23,12,8,8,13,14,13,22,25
ENSMUSG00000064494,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064495,0,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000064496,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064497,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064500,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064507,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064508,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064510,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064511,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064512,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000064513,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000064514,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064515,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064517,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064519,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064522,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064524,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064525,0,0,0,4,0,2,0,0,1,0,0,1
ENSMUSG00000064526,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064527,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064529,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064530,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064532,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064536,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064540,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064541,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064542,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064543,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064545,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064547,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064548,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064549,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064550,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064551,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064553,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000064554,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064555,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064556,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064558,91,116,142,209,183,77,134,147,124,224,203,160
ENSMUSG00000064563,18,19,29,20,21,21,17,18,15,21,31,14
ENSMUSG00000064565,0,0,1,0,0,0,0,1,0,0,0,0
ENSMUSG00000064566,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000064567,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064569,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064570,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064572,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064573,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064574,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064575,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064577,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064579,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064580,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064581,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064582,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064584,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064585,3,1,1,4,2,2,0,2,0,2,14,1
ENSMUSG00000064586,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000064587,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064588,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064590,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064591,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064595,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064596,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064597,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000064600,0,2,0,0,0,1,0,0,0,1,0,0
ENSMUSG00000064601,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064602,0,0,1,0,2,0,0,0,0,2,1,2
ENSMUSG00000064604,0,0,0,0,0,0,1,0,0,0,1,0
ENSMUSG00000064605,0,0,0,1,1,0,0,0,0,0,3,0
ENSMUSG00000064606,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064609,0,0,0,0,2,0,0,0,1,5,0,0
ENSMUSG00000064612,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064613,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064616,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000064617,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064618,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000064619,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064620,15,20,33,41,52,21,15,19,8,29,57,18
ENSMUSG00000064621,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064622,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064624,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064626,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064630,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064631,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064632,1,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000064634,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064637,0,0,2,0,0,1,1,0,0,1,1,0
ENSMUSG00000064642,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064644,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064646,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064647,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064648,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064652,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064653,0,0,1,0,1,0,1,0,0,0,0,0
ENSMUSG00000064655,34,42,40,64,55,16,42,42,40,50,30,76
ENSMUSG00000064658,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064659,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064663,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064664,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064665,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064666,0,0,0,0,0,0,0,0,0,1,0,1
ENSMUSG00000064669,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064670,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064671,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064672,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064673,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064675,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064677,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064679,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064682,2,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000064685,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064686,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064687,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000064688,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064689,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064691,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064692,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064693,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064694,8,5,4,19,13,7,8,6,9,15,19,8
ENSMUSG00000064696,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064697,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064698,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064702,51,52,60,76,84,42,61,34,41,75,79,41
ENSMUSG00000064704,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064706,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064707,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000064709,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064714,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064715,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064717,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064718,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064719,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064720,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064721,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064722,4,0,0,0,1,0,1,0,0,0,1,0
ENSMUSG00000064724,3,3,4,5,3,1,4,3,0,2,2,3
ENSMUSG00000064725,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064726,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064727,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064728,0,0,0,0,0,0,0,0,0,0,0,0
